Order ID,Add-On Beverage Item [Arabic Cold Brew],Add-On Beverage Item [Kombucha Beetroot],Add-On Beverage Item [Kombucha Green Tea],Add-On Beverage Item [Kombucha Lemongrass & Green Tea],Add-On Beverage Item [Kombucha Passionfruit],Add-On Beverage Item [N. Soda Apply & Vanilla],Add-On Beverage Item [N. Soda Guava & Lemongr],Add-On Beverage Item [N. Soda Lengkuas & Lemonade],Add-On Food Item [Amazin' Grace Granola],Add-On Food Item [Amazin' Grace Nut Mix],Add-On Food Item [Buttermilk Pita Chips],Add-On Food Item [Cheese Pita Chips],Add-On Food Item [Cooked Falafel],Add-On Food Item [Cookies],Add-On Food Item [Fresh Mantu],Add-On Food Item [Frozen Bolani],Add-On Food Item [Frozen Chicken Meatball],Add-On Food Item [Frozen Falafel Mix],Add-On Food Item [Frozen Sambusak],Add-On Food Item [Hummus & Bread],Add-On Food Item [Mandi Rice],Add-On Food Item [Mediterranean Lamb Stew],Add-On Food Item [Pulut Hitam Creme Brul̩e],Add-On Food Item [Shawarma Pita Chips],Add-On Food Item [Sourdough (Kefir King)],Menu Orders [PM1 - Chicken Mandi],Menu Orders [PM2 - CNY Special - Pan Seared Seabass Fillet],Menu Orders [PM3 - Picha Lamb Dhansak],Menu Orders [SM1 - Soy Chunk & Tofu Butter Masala],Menu Orders [SM2 - CNY Special Fried Chicken],Menu Orders [SM3 - Mediterranean Beef Kofta],Menu Orders [SM4 - Koshari],Menu Orders [SM5 - Young Jackfruit Rendang],Menu Orders [SM6 - Kimchi Roasted Chicken],Menu Orders [SM7 - Coriander Chicken Meatballs],Menu Orders [SM8 - Roasted Pumpkin],Menu Orders [SM9 - Chicken Jalfrezi],Menu Orders [VM1 - Afghan Eggplant Curry],Menu Orders [VM2 - Cauli-Chickpeas Veggie Balls],Menu Orders [VM3 - Soy Chunk & Tofu Butter Masala]
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,
583,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,1,2,2,,,
584,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,,1,1,,,,
585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
586,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,1,1,1,1,1,,,,
588,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,,,1,1,,,
589,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,1,,1,,,,
590,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,1,1,1,,,
592,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,,1,1,,,,
594,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,,,1,1,,1,1,1
595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,
597,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,1,1,1,1,1,,,
598,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,1,1,,1,1,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,1,1,1,1,1,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,,1,1,1,,1,,,
601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,
602,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,1,1,,,,
603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,
613,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,5,,,,,,,
617,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,2,1,1,,2,,,
618,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,2,1,1,1,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,
622,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,
628,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,,1,1,,,
629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,
630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,
631,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,1,,1,,,
632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,1,,,
635,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,1,1,1
637,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
638,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,1,1,1
639,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
642,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,2,,1,,,
644,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,1,1,,1,1,,,
653,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,1,,,1,,,,
654,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,1,1,,,,1,
659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,
665,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
667,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,,1,1,,,,
668,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
670,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,1,,1,
673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,2,2,,,
675,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,2,,,,,,,,,
678,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,2,,,2,,,
679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
681,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,1,,2,,,
682,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,1,1,,,1,1,1,1,1,,,
683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,
684,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,2,,1,,
686,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,
687,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,
693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,
694,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,,,2,1,,,,
695,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,
698,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,1,1,,1,1,1,,,
699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1
7,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,2,1,1,2,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,,,1,,,2,2,
703,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,1,1,1,1,1,,,
708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,2,1,,,1,1,,,
711,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,
713,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
715,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,1,1,1,1,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5,,5,,,,5,,,
723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,
724,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,1,,,,,3,,,,
730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,2,2,,,,,
731,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,2,,,,2,,,
733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,1,1,1
738,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
740,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,2,,,4,2,4,,,,
741,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,,1,1,1,1,1,,,
742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,,,1,,1
743,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,2,,2,1,,2,2,,,,,,
750,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,1,1,1,,1,,1,,
751,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,,2,,1,2,,,,
758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,1,1,1
759,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,1,1,,1,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,1,,2,2,1,,,,
760,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,1,,,1,,,
761,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,1,,,,,,1,1,1,1,
762,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,3,,,,,2,,,,
766,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,
767,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,1,,1,1,,,
768,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,1,,1,,,
769,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1,1,1,,1,1,1
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,
770,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,1,,,1,,,,,,1,
771,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,1,1,1,,,,
773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,2,2,,,
774,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,1,1,1,,,
776,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,2,1,1,,,,1,,,
783,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,
789,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,3,,,3,,,,,1,,,
790,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,1,,,
791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
797,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,2,1,,,,2,,,
798,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,1,2,,1,,1,1,,,
799,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,2,,,,,,
80,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,
800,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,2,1,1,,,,
804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,
805,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
809,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
813,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,1,,,,2,,1,1,
814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,
819,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,,2,,,1,,,,
823,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,2,,1,,1,,1,1,
826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,
827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,2,1,
830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,
839,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,1,1,,,
840,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,,,,,,,
847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,
849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,
852,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,1,2,,2,,,,,
855,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,1,,2,,2,,,,
857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,,1,1,1,1,,,
861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,
863,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,
864,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,2,1,,,
865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
870,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,3,2,,2,1,2,2,2,,,
871,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,1,1,1,1,,,,
872,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,1,1,,1,,,,
873,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,1,,1,1,,,
874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,
881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,
882,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,1,,,1,1,,2,,,
885,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,
887,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,
892,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,1,1,,1,,,
896,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,1,,1,1,,,,,
903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2
904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,
905,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,1,,,,,,
906,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,1,1,1,1,,1,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1
917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
918,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,1,,1,,,
919,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,2,,1,1,,1,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,2,1,,,
922,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,,,,,
923,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,1,,1,1,,
924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,
925,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,2,,1,,,
926,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,3,,,2,,,
927,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,1,,1,1,,1,1,1,
935,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,3,,,,,,
936,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,,1,1,1,1,,,
937,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,1,1,,1,2,,,,,,
941,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,2,,1,,,
950,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,,1,,1,,,
951,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,1,,,,3,,,,,
953,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1,2,,2,,,
957,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,,1,1,,1,,,
959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,1,1,1,,,
960,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
965,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,2,1,,,1,,,
968,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,1,,,1,1,,,,,,
969,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,1,,,2,,,
970,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,
972,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2,1,2,,,,,,,
976,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,,1,,1,,,
977,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,1,,1,,,
978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,
979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,3,,,,,
982,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,
985,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
987,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,1,1,1
991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,
992,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,2,1,,,1,,1,,,
993,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,1,,,1,,,1,1,1
994,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,1,,1,,,
995,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,1,1,,,,
996,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,1,2,,1,,,
999,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,1,1,,1,,,
